DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0040969,Aristolochic acid,313-67-7,BBFQZRXNYIEMAW-UHFFFAOYSA-N,"8-Methoxy-6-nitro-2H-phenanthro[3,4-d][1,3]dioxole-5-carboxylic acid",COC1=C2C=C(C3=C(C=C4OCOC4=C3C2=CC=C1)C(O)=O)[N+]([O-])=O,"InChI=1S/C17H11NO7/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13/h2-6H,7H2,1H3,(H,19,20)",C17H11NO7,341.275,341.053552,22,600,179,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3051202,Radium-226,13982-63-3,DQXWBJUMYKQGMA-GLJCYROLSA-N,(~226~Ra)Radium,[226Ra],InChI=1S/Ra.2H/i1+0;;,[226Ra],226.025402555,226.025403,13,,16,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021116,Phenacetin,62-44-2,CPJSUEIXXCENMM-UHFFFAOYSA-N,N-(4-Ethoxyphenyl)acetamide,CCOC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",C10H13NO2,179.219,179.094629,64,2380,241,11,1,1/327,0.0,327
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40872425,Nickel & Nickel Compounds,NOCAS_872425,,,,,,, ,7,,,22,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024267,Polychlorinated biphenyls,1336-36-3,,,"[*]C1=C([*])C([*])=C(C([*])=C1[*])C1=C([*])C([*])=C([*])C([*])=C1[*] |$_R1;;;_R1;;_R1;;;_R1;;_R1;;;_R1;;_R1;;_R1;;_R1;;_R1$,c:1,5,8,12,20,t:16,RG:_R1={Cl* |$;_AP1$,lp:0:3|},LOG={_R1:;H;>0}|",,,, ,51,13428,,2776,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020637,Formaldehyde,50-00-0,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,C=O,InChI=1S/CH2O/c1-2/h1H2,CH2O,30.026,30.010565,105,19234,338,2328,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50912341,Radium-224,13233-32-4,DQXWBJUMYKQGMA-XFAAJJICSA-N,(~224~Ra)Radium,[224RaH2],InChI=1S/Ra/i1-2,[224Ra],224.020202004,224.020202,7,,14,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020448,"1,2-Dichloropropane",78-87-5,KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-Dichloropropane",CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",C3H6Cl2,112.98,111.984656,88,74,114,44,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020830,8-Methoxypsoralen,298-81-7,QXKHYNVANLEOEG-UHFFFAOYSA-N,"9-Methoxy-7H-furo[3,2-g][1]benzopyran-7-one",COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,"InChI=1S/C12H8O4/c1-14-12-10-8(4-5-15-10)6-7-2-3-9(13)16-11(7)12/h2-6H,1H3",C12H8O4,216.192,216.042259,51,2330,273,,1,12/325,4.0,325
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021106,Pentachlorophenol,87-86-5,IZUPBVBPLAPZRR-UHFFFAOYSA-N,Pentachlorophenol,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,C6HCl5O,266.32,263.847003,107,1761,173,106,1,248/608,41.0,608
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020071,4-Biphenylamine,92-67-1,DMVOXQPQNTYEKQ-UHFFFAOYSA-N,"[1,1'-Biphenyl]-4-amine",NC1=CC=C(C=C1)C1=CC=CC=C1,"InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2",C12H11N,169.227,169.089149,56,292,163,4,1,12/234,5.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020203,"1,3-Butadiene",106-99-0,KAKZBPTYRLMSJV-UHFFFAOYSA-N,"Buta-1,3-diene",C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",C4H6,54.092,54.046950,80,689,153,91,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021339,Thiotepa,52-24-4,FOCVUCIESVLUNU-UHFFFAOYSA-N,"1,1',1''-Phosphorothioyltris(aziridine)",S=P(N1CC1)(N1CC1)N1CC1,"InChI=1S/C6H12N3PS/c11-10(7-1-2-7,8-3-4-8)9-5-6-9/h1-6H2",C6H12N3PS,189.22,189.048956,40,2676,202,1,1,25/440,6.0,440
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6049800,Thorium,7440-29-1,ZSLUVFAKFWKJRC-UHFFFAOYSA-N,Thorium,[Th],InChI=1S/Th,Th,232.0377,232.038060,26,2011,44,244,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID701015778,Radon,10043-92-2,SYUHGPGVQRZVTB-UHFFFAOYSA-N,Radon,[Rn],InChI=1S/Rn,Rn,222.0,222.000000,13,,36,7,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4023886,Arsenic,7440-38-2,RQNWIZPPADIBDY-UHFFFAOYSA-N,Arsenic,[As],InChI=1S/As,As,74.921595,74.921595,66,22387,148,952,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020139,Benzo[a]pyrene,50-32-8,FMMWHPNWAFZXNH-UHFFFAOYSA-N,Benzo[pqr]tetraphene,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,C20H12,252.316,252.093900,87,11520,205,31,1,68/257,26.0,257
