DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020279,3-Chloro-2-methylpropene,563-47-3,OHXAOPZTJOUYKM-UHFFFAOYSA-N,3-Chloro-2-methylprop-1-ene,CC(=C)CCl,"InChI=1S/C4H7Cl/c1-4(2)3-5/h1,3H2,2H3",C4H7Cl,90.55,90.023628,42,12,115,2,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5074844,4-Nitropyrene,57835-92-4,UISKIUIWPSPSAV-UHFFFAOYSA-N,4-Nitropyrene,[O-][N+](=O)C1=CC2=CC=CC3=CC=C4C=CC=C1C4=C23,InChI=1S/C16H9NO2/c18-17(19)14-9-12-5-1-3-10-7-8-11-4-2-6-13(14)16(11)15(10)12/h1-9H,C16H9NO2,247.253,247.063329,17,13,62,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90872819,"1,6-Dinitropyrene",42397-64-8,GUXACCKTQWVTLG-UHFFFAOYSA-N,"1,6-Dinitropyrene",[O-][N+](=O)C1=CC=C2C=CC3=C(C=CC4=CC=C1C2=C34)[N+]([O-])=O,InChI=1S/C16H8N2O4/c19-17(20)13-8-4-10-2-6-12-14(18(21)22)7-3-9-1-5-11(13)16(10)15(9)12/h1-8H,C16H8N2O4,292.25,292.048407,18,99,54,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9021340,Thioacetamide,62-55-5,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,Ethanethioamide,CC(N)=S,"InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)",C2H5NS,75.13,75.014270,54,1303,164,5,1,1/243,0.0,243
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021437,4-Vinylcyclohexene,100-40-3,BBDKZWKEPDTENS-UHFFFAOYSA-N,4-Ethenylcyclohex-1-ene,C=CC1CCC=CC1,"InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2",C8H12,108.184,108.093900,48,45,91,15,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024183,Methyl acrylate,96-33-3,BAPJBEWLBFYGME-UHFFFAOYSA-N,Methyl prop-2-enoate,COC(=O)C=C,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3",C4H6O2,86.09,86.036779,64,125,145,5,1,0/319,0.0,319
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020541,"5,5-Diphenylhydantoin",57-41-0,CXOFVDLJLONNDW-UHFFFAOYSA-N,"5,5-Diphenylimidazolidine-2,4-dione",O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",C15H12N2O2,252.273,252.089878,80,13592,281,18,1,26/672,4.0,672
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020657,Glu-P-1,67730-11-4,AYLURHVFAYRSHT-UHFFFAOYSA-N,"6-Methylimidazo[1,2-a:5,4-b']dipyridin-2-amine",CC1=CC=CN2C1=NC1=C2N=C(N)C=C1,"InChI=1S/C11H10N4/c1-7-3-2-6-15-10(7)13-8-4-5-9(12)14-11(8)15/h2-6H,1H3,(H2,12,14)",C11H10N4,198.229,198.090546,17,107,40,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4039235,"1-Amino-2,4-dibromoanthraquinone",81-49-2,ZINRVIQBCHAZMM-UHFFFAOYSA-N,"1-Amino-2,4-dibromoanthracene-9,10-dione",NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C(Br)C=C1Br,"InChI=1S/C14H7Br2NO2/c15-8-5-9(16)12(17)11-10(8)13(18)6-3-1-2-4-7(6)14(11)19/h1-5H,17H2",C14H7Br2NO2,381.023,378.884354,31,6,85,,1,7/234,3.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020516,"1,1-Dimethylhydrazine",57-14-7,RHUYHJGZWVXEHW-UHFFFAOYSA-N,"1,1-Dimethylhydrazine",CN(C)N,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",C2H8N2,60.1,60.068748,66,542,88,8,1,4/352,1.0,352
