DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020566,Epichlorohydrin,106-89-8,BRLQWZUYTZBJKN-UHFFFAOYSA-N,2-(Chloromethyl)oxirane,ClCC1CO1,"InChI=1/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2",C3H5ClO,92.52,92.002893,79,440,243,388,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020666,Glycidol,556-52-5,CTKINSOISVBQLD-UHFFFAOYSA-N,(Oxiran-2-yl)methanol,OCC1CO1,"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2",C3H6O2,74.079,74.036779,59,146,166,5,1,12/584,2.0,584
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020512,Dimethylcarbamoyl chloride,79-44-7,YIIMEMSDCNDGTB-UHFFFAOYSA-N,Dimethylcarbamoyl chloride,CN(C)C(Cl)=O,InChI=1S/C3H6ClNO/c1-5(2)3(4)6/h1-2H3,C3H6ClNO,107.54,107.013791,52,12,124,,1,3/571,1.0,571
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4024983,Cisplatin,15663-27-1,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Diammine(dichlorido)platinum,N.N.[Cl-].[Cl-].[Pt++],InChI=1S/2ClH.2H3N.Pt/h2*1H;2*1H3;/q;;;;+2/p-2,Cl2H6N2Pt,300.05,298.955596,30,44607,,7,1,18/234,8.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020407,Diazinon,333-41-5,FHIVAFMUCKRCQO-UHFFFAOYSA-N,"O,O-Diethyl O-[6-methyl-2-(propan-2-yl)pyrimidin-4-yl] phosphorothioate",CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",C12H21N2O3PS,304.34,304.101051,113,890,146,76,1,82/731,11.0,731
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7074822,Cyclopenta[cd]pyrene,27208-37-3,BZCXQYVNASLLQO-UHFFFAOYSA-N,Cyclopenta[cd]pyrene,C1=CC2=C3C1=CC1=CC=CC4=CC=C(C=C2)C3=C14,InChI=1S/C18H10/c1-2-11-4-6-13-7-5-12-8-9-15-10-14(3-1)16(11)18(13)17(12)15/h1-10H,C18H10,226.278,226.078250,15,29,43,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020242,Captafol,2425-06-1,JHRWWRDRBPCWTF-UHFFFAOYSA-N,"2-[(1,1,2,2-Tetrachloroethyl)sulfanyl]-3a,4,7,7a-tetrahydro-1H-isoindole-1,3(2H)-dione",ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,"InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2",C10H9Cl4NO2S,349.05,346.910811,55,44,62,,1,279/674,41.0,674
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020261,Chloral hydrate,302-17-0,RNFNDJAIBTYOQL-UHFFFAOYSA-N,"2,2,2-Trichloroethane-1,1-diol",OC(O)C(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H",C2H3Cl3O2,165.39,163.919862,56,1962,151,14,1,1/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021190,Procarbazine hydrochloride,366-70-1,DERJYEZSLHIUKF-UHFFFAOYSA-N,4-[(2-Methylhydrazinyl)methyl]-N-(propan-2-yl)benzamide--hydrogen chloride (1/1),Cl.CNNCC1=CC=C(C=C1)C(=O)NC(C)C,"InChI=1S/C12H19N3O.ClH/c1-9(2)15-12(16)11-6-4-10(5-7-11)8-14-13-3;/h4-7,9,13-14H,8H2,1-3H3,(H,15,16);1H",C12H20ClN3O,257.76,257.129490,25,3147,120,2,1,6/325,2.0,325
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021284,Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,Ethenylbenzene,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",C8H8,104.152,104.062600,111,1679,317,1541,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020116,5-Azacytidine,320-67-2,NMUSYJAQQFHJEW-KVTDHHQDSA-N,"4-Amino-1-beta-D-ribofuranosyl-1,3,5-triazin-2(1H)-one",NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1",C8H12N4O5,244.207,244.080770,44,5730,252,,1,108/382,28.0,382
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6026086,"3,3',4,4'-Tetrachloroazobenzene",14047-09-7,SOBGIMQKWDUEPY-ISLYRVAYSA-N,"(E)-Bis(3,4-dichlorophenyl)diazene",ClC1=CC=C(C=C1Cl)\N=N\C1=CC(Cl)=C(Cl)C=C1,InChI=1S/C12H6Cl4N2/c13-9-3-1-7(5-11(9)15)17-18-8-2-4-10(14)12(16)6-8/h1-6H/b18-17+,C12H6Cl4N2,319.99,317.928509,12,30,42,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020983,1-Nitropyrene,5522-43-0,ALRLPDGCPYIVHP-UHFFFAOYSA-N,1-Nitropyrene,[O-][N+](=O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,InChI=1S/C16H9NO2/c18-17(19)14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9H,C16H9NO2,247.253,247.063329,39,355,109,1,1,27/246,11.0,246
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021286,Styrene oxide,96-09-3,AWMVMTVKBNGEAK-UHFFFAOYSA-N,2-Phenyloxirane,C1OC1C1=CC=CC=C1,"InChI=1S/C8H8O/c1-2-4-7(5-3-1)8-6-9-8/h1-5,8H,6H2",C8H8O,120.151,120.057515,67,422,129,2,1,6/576,1.0,576
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020415,"1,2-Dibromoethane",106-93-4,PAAZPARNPHGIKF-UHFFFAOYSA-N,"1,2-Dibromoethane",BrCCBr,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,C2H4Br2,187.862,185.867976,94,408,156,38,1,4/458,1.0,458
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024122,Glyphosate,1071-83-6,XDDAORKBJWWYJS-UHFFFAOYSA-N,N-(Phosphonomethyl)glycine,OC(=O)CNCP(O)(O)=O,"InChI=1S/C3H8NO5P/c5-3(6)1-4-2-10(7,8)9/h4H,1-2H2,(H,5,6)(H2,7,8,9)",C3H8NO5P,169.073,169.014009,64,1483,188,21,1,0/50,0.0,50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020320,Chlorozotocin,54749-90-5,MYBLAOJMRYYKMS-PVFLNQBWSA-N,2-{[(2-Chloroethyl)(nitroso)carbamoyl]amino}-2-deoxy-alpha-D-glucopyranose,OC[C@H]1O[C@H](O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,"InChI=1S/C9H16ClN3O7/c10-1-2-13(12-19)9(18)11-5-7(16)6(15)4(3-14)20-8(5)17/h4-8,14-17H,1-3H2,(H,11,18)/t4-,5-,6-,7-,8+/m1/s1",C9H16ClN3O7,313.69,313.067678,16,122,15,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020593,1-Ethyl-1-nitrosourea,759-73-9,FUSGACRLAFQQRL-UHFFFAOYSA-N,N-Ethyl-N-nitrosourea,CCN(N=O)C(N)=O,"InChI=1S/C3H7N3O2/c1-2-6(5-8)3(4)7/h2H2,1H3,(H2,4,7)",C3H7N3O2,117.108,117.053826,48,2259,66,,1,0/326,0.0,326
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024045,Diethyl sulfate,64-67-5,DENRZWYUOJLTMF-UHFFFAOYSA-N,Diethyl sulfate,CCOS(=O)(=O)OCC,"InChI=1S/C4H10O4S/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3",C4H10O4S,154.18,154.029980,58,180,113,1,1,1/575,0.0,575
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020845,Methyl methanesulfonate,66-27-3,MBABOKRGFJTBAE-UHFFFAOYSA-N,Methyl methanesulfonate,COS(C)(=O)=O,"InChI=1S/C2H6O3S/c1-5-6(2,3)4/h1-2H3",C2H6O3S,110.13,110.003765,51,2283,157,3,1,6/587,1.0,587
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021195,"1,3-Propane sultone",1120-71-4,FSSPGSAQUIYDCN-UHFFFAOYSA-N,"1,2lambda~6~-Oxathiolane-2,2-dione",O=S1(=O)CCCO1,InChI=1S/C3H6O3S/c4-7(5)3-1-2-6-7/h1-3H2,C3H6O3S,122.14,122.003765,54,31,130,,1,3/575,1.0,575
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3037129,Pioglitazone,111025-46-8,HYAFETHFCAUJAY-UHFFFAOYSA-N,"5-({4-[2-(5-Ethylpyridin-2-yl)ethoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione",CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,"InChI=1/C19H20N2O3S/c1-2-13-3-6-15(20-12-13)9-10-24-16-7-4-14(5-8-16)11-17-18(22)21-19(23)25-17/h3-8,12,17H,2,9-11H2,1H3,(H,21,22,23)",C19H20N2O3S,356.44,356.119464,34,3113,214,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9021390,"1,2,3-Trichloropropane",96-18-4,CFXQEHVMCRXUSD-UHFFFAOYSA-N,"1,2,3-Trichloropropane",ClCC(Cl)CCl,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2",C3H5Cl3,147.42,145.945683,83,50,108,15,1,5/600,1.0,600
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9075454,6-Nitrochrysene,7496-02-8,UAWLTQJFZUYROA-UHFFFAOYSA-N,6-Nitrochrysene,[O-][N+](=O)C1=CC2=C(C=CC3=CC=CC=C23)C2=CC=CC=C12,InChI=1S/C18H11NO2/c20-19(21)18-11-17-13-6-2-1-5-12(13)9-10-15(17)14-7-3-4-8-16(14)18/h1-11H,C18H11NO2,273.291,273.078979,18,63,46,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020092,2-Methoxyaniline hydrochloride,134-29-2,XCZCWGVXRBJCCD-UHFFFAOYSA-N,2-Methoxyaniline--hydrogen chloride (1/1),Cl.COC1=C(N)C=CC=C1,"InChI=1S/C7H9NO.ClH/c1-9-7-5-3-2-4-6(7)8;/h2-5H,8H2,1H3;1H",C7H10ClNO,159.61,159.045092,27,46,59,1,1,11/326,3.0,326
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020807,2-Mercaptobenzothiazole,149-30-4,YXIWHUQXZSMYRE-UHFFFAOYSA-N,"1,3-Benzothiazole-2-thiol",SC1=NC2=C(S1)C=CC=C2,"InChI=1S/C7H5NS2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)",C7H5NS2,167.24,166.986342,82,111,245,61,1,82/620,13.0,620
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020023,Acrolein,107-02-8,HGINCPLSRVDWNT-UHFFFAOYSA-N,Prop-2-enal,C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",C3H4O,56.064,56.026215,105,2468,139,16,1,2/234,1.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5023877,2-Anisidine,90-04-0,VMPITZXILSNTON-UHFFFAOYSA-N,2-Methoxyaniline,COC1=CC=CC=C1N,"InChI=1S/C7H9NO/c1-9-7-5-3-2-4-6(7)8/h2-5H,8H2,1H3",C7H9NO,123.155,123.068414,71,46,159,,1,13/583,2.0,583
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4028250,"Asphalt, oxidized",64742-93-4,,,,,,, ,13,,,54,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020702,Hydrazine,302-01-2,OAKJQQAXSVQMHS-UHFFFAOYSA-N,Hydrazine,NN,InChI=1S/H4N2/c1-2/h1-2H2,H4N2,32.046,32.037448,69,36436,82,56,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024055,Dimethyl sulfate,77-78-1,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,Dimethyl sulfate,COS(=O)(=O)OC,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",C2H6O4S,126.13,125.998680,71,617,105,6,1,7/607,1.0,607
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021174,Polybrominated biphenyls (PBB),59536-65-1,,,"[*]C1=C([*])C([*])=C(C([*])=C1[*])C1=C([*])C([*])=C([*])C([*])=C1[*] |$_R1;;;_R1;;_R1;;;_R1;;_R1;;;_R1;;_R1;;_R1;;_R1;;_R1$,c:1,5,8,12,20,t:16,RG:_R1={Br* |$;_AP1$,lp:0:3|},LOG={_R1:;H;>0}|",,,, ,24,2099,,,1,8/234,3.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022743,"N,N'-Bis(2-chloroethyl)-N-nitrosourea",154-93-8,DLGOEMSEDOSKAD-UHFFFAOYSA-N,"N,N'-Bis(2-chloroethyl)-N-nitrosourea",ClCCNC(=O)N(CCCl)N=O,"InChI=1S/C5H9Cl2N3O2/c6-1-3-8-5(11)10(9-12)4-2-7/h1-4H2,(H,8,11)",C5H9Cl2N3O2,214.05,213.007182,33,3873,217,2,1,1/234,0.0,234
