Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
Thallium (μg/g CrCl),7440-28-0,"HH Income: $25,000 or less",0.1238,0.1822,0.2889,0.3905,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"HH Income: $25,000 or less",11.5583,21.6435,39.2681,73.6383,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"HH Income: $25,000 or less",,0.2039,0.3654,0.6188,2010-2011
Uranium (μg/g CrCl),7440-61-1,"HH Income: $25,000 or less",,,,0.0305,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"HH Income: $25,000 or less",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"HH Income: $25,000 or less",,,0.2592,0.9826,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"HH Income: $25,000 or less",,0.8112,1.95,4.0485,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"HH Income: $50,000 - $74,999",0.3877,0.7222,1.82,3.2942,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"HH Income: $50,000 - $74,999",,,0.1442,0.263,2010-2011
Antimony (μg/g CrCl),7440-36-0,"HH Income: $50,000 - $74,999",,,,0.1859,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"HH Income: $50,000 - $74,999",,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"HH Income: $50,000 - $74,999",,6.3795,21.6828,37.7238,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"HH Income: $50,000 - $74,999",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"HH Income: $50,000 - $74,999",0.2476,0.5248,0.9295,1.4407,2010-2011
Barium (μg/g CrCl),7440-39-3,"HH Income: $50,000 - $74,999",1.6106,3.2377,5.498,7.8961,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"HH Income: $50,000 - $74,999",,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,"HH Income: $50,000 - $74,999",0.2225,0.3679,0.6344,0.9727,2010-2011
Cesium (μg/g CrCl),7440-46-2,"HH Income: $50,000 - $74,999",3.5205,5.3534,6.8853,8.7229,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"HH Income: $50,000 - $74,999",0.4443,0.7762,1.2425,1.8527,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"HH Income: $50,000 - $74,999",3.6317,6.3881,10.8636,16.4473,2010-2011
Lead (μg/g CrCl),7439-92-1,"HH Income: $50,000 - $74,999",,0.5589,0.8919,1.352,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,"HH Income: $50,000 - $74,999",42.8489,72.3187,125.285,166.6783,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,"HH Income: $50,000 - $74,999",,0.711,1.4468,1.856,2010-2011
Platinum (μg/g CrCl),7440-06-4,"HH Income: $50,000 - $74,999",,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,"HH Income: $50,000 - $74,999",1.0755,1.7579,2.9843,4.3198,2010-2011
Thallium (μg/g CrCl),7440-28-0,"HH Income: $50,000 - $74,999",0.1173,0.1797,0.2577,0.3779,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"HH Income: $50,000 - $74,999",10.7316,21.4911,45.8435,65.1411,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"HH Income: $50,000 - $74,999",,0.1906,0.436,0.6992,2010-2011
Uranium (μg/g CrCl),7440-61-1,"HH Income: $50,000 - $74,999",,,,0.0214,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"HH Income: $50,000 - $74,999",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"HH Income: $50,000 - $74,999",,,0.3547,0.5815,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"HH Income: $50,000 - $74,999",,0.696,1.6526,3.336,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"HH Income: $75,000 or more",0.4379,0.9352,2.603,5.5631,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"HH Income: $75,000 or more",,,0.1072,0.2011,2010-2011
Antimony (μg/g CrCl),7440-36-0,"HH Income: $75,000 or more",,,,0.134,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"HH Income: $75,000 or more",,,,0.5538,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"HH Income: $75,000 or more",1.4838,8.1353,27.5675,56.8036,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"HH Income: $75,000 or more",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"HH Income: $75,000 or more",0.3263,0.6476,1.0494,1.5126,2010-2011
Barium (μg/g CrCl),7440-39-3,"HH Income: $75,000 or more",1.7353,3.0022,4.7842,6.4245,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"HH Income: $75,000 or more",,,,,2010-2011
