Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Gender: Female,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Gender: Female,,,0.5281,1.4789,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Gender: Female,,0.8526,2.8284,6.5599,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Hispanic,0.3484,0.6918,1.874,4.5527,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Hispanic,,,0.0747,0.1179,2010-2011
Antimony (μg/g CrCl),7440-36-0,Hispanic,,,,0.134,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Hispanic,,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Hispanic,,3.1965,8.8179,18.2852,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Hispanic,,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Hispanic,0.3857,0.7084,1.0426,1.3404,2010-2011
Barium (μg/g CrCl),7440-39-3,Hispanic,0.979,1.8803,3.6636,4.6454,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Hispanic,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Hispanic,0.1817,0.3104,0.4704,0.6722,2010-2011
Cesium (μg/g CrCl),7440-46-2,Hispanic,2.9379,4.3672,5.9791,6.8604,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Hispanic,0.4087,0.7424,1.2028,1.5858,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Hispanic,4.2708,6.6133,9.7489,11.1043,2010-2011
Lead (μg/g CrCl),7439-92-1,Hispanic,,0.4705,0.7182,0.9023,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Hispanic,52.0882,74.1257,107.332,130.921,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Hispanic,,0.7826,1.0517,1.4313,2010-2011
Platinum (μg/g CrCl),7440-06-4,Hispanic,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Hispanic,0.8468,1.3132,1.8217,2.5009,2010-2011
Thallium (μg/g CrCl),7440-28-0,Hispanic,0.1204,0.1694,0.2403,0.2925,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Hispanic,10.4474,16.5539,29.5276,38.3797,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Hispanic,,0.1621,0.2845,0.4034,2010-2011
Uranium (μg/g CrCl),7440-61-1,Hispanic,,,,,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Hispanic,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Hispanic,,,0.3992,0.9384,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Hispanic,,0.6013,1.7965,5.3964,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Gender: Male,0.3568,0.7725,2.1873,5.8122,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Gender: Male,,,0.0816,0.1726,2010-2011
Antimony (μg/g CrCl),7440-36-0,Gender: Male,,,,0.1835,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Gender: Male,,,,0.5442,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Gender: Male,0.9258,5.8029,21.9713,48.3063,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Gender: Male,,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Gender: Male,0.3247,0.6116,0.9973,1.5985,2010-2011
Barium (μg/g CrCl),7440-39-3,Gender: Male,1.3374,2.626,4.8045,6.0731,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Gender: Male,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Gender: Male,0.1933,0.3187,0.5394,0.7793,2010-2011
Cesium (μg/g CrCl),7440-46-2,Gender: Male,3.1999,4.6284,6.5818,8.3425,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Gender: Male,0.3487,0.5421,0.9094,1.2705,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Gender: Male,3.9552,6.4045,11.0451,15.9675,2010-2011
Lead (μg/g CrCl),7439-92-1,Gender: Male,0.3146,0.5473,0.8541,1.1932,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Gender: Male,45.704,71.9161,112.6013,151.3354,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Gender: Male,,0.7992,1.2981,1.7593,2010-2011
Platinum (μg/g CrCl),7440-06-4,Gender: Male,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Gender: Male,0.9956,1.724,2.9332,4.9733,2010-2011
Thallium (μg/g CrCl),7440-28-0,Gender: Male,0.1152,0.1633,0.2375,0.3064,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Gender: Male,10.8557,21.1183,46.7281,82.5621,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Gender: Male,,0.1745,0.3655,0.5077,2010-2011
Uranium (μg/g CrCl),7440-61-1,Gender: Male,,,,0.025,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Gender: Male,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Gender: Male,,,0.3929,1.1847,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Gender: Male,,0.6329,1.9277,6.0963,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"Race/eth: White, Non-Hispanic",0.4399,0.9592,2.7361,6.251,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"Race/eth: White, Non-Hispanic",,,0.117,0.216,2010-2011
Antimony (μg/g CrCl),7440-36-0,"Race/eth: White, Non-Hispanic",,,,0.1629,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"Race/eth: White, Non-Hispanic",,,,0.5176,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"Race/eth: White, Non-Hispanic",0.8879,6.3609,21.8582,46.2112,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"Race/eth: White, Non-Hispanic",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"Race/eth: White, Non-Hispanic",0.285,0.5839,0.9953,1.5128,2010-2011
Barium (μg/g CrCl),7440-39-3,"Race/eth: White, Non-Hispanic",1.6652,3.2131,5.6017,7.5703,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"Race/eth: White, Non-Hispanic",,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,"Race/eth: White, Non-Hispanic",0.2244,0.377,0.6559,0.9807,2010-2011
Cesium (μg/g CrCl),7440-46-2,"Race/eth: White, Non-Hispanic",3.6894,5.4707,7.3002,9.3187,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"Race/eth: White, Non-Hispanic",0.4638,0.7685,1.2129,1.7429,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"Race/eth: White, Non-Hispanic",4.0233,6.4378,10.2542,13.7938,2010-2011
Lead (μg/g CrCl),7439-92-1,"Race/eth: White, Non-Hispanic",0.3253,0.5965,1.0733,1.4502,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,"Race/eth: White, Non-Hispanic",46.2158,74.7829,115.1452,154.8625,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,"Race/eth: White, Non-Hispanic",,0.8238,1.458,1.8977,2010-2011
Platinum (μg/g CrCl),7440-06-4,"Race/eth: White, Non-Hispanic",,,,0.1944,2010-2011
TCPy (μg/g CrCl),6515-38-4,"Race/eth: White, Non-Hispanic",1.1152,1.8879,3.1326,4.3836,2010-2011
Thallium (μg/g CrCl),7440-28-0,"Race/eth: White, Non-Hispanic",0.126,0.1863,0.2628,0.3494,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"Race/eth: White, Non-Hispanic",11.3874,22.71,46.7641,72.4298,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"Race/eth: White, Non-Hispanic",,0.1936,0.3969,0.6436,2010-2011
Uranium (μg/g CrCl),7440-61-1,"Race/eth: White, Non-Hispanic",,,,0.026,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"Race/eth: White, Non-Hispanic",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"Race/eth: White, Non-Hispanic",,,0.4501,1.3763,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"Race/eth: White, Non-Hispanic",,0.7962,2.6523,6.3304,2010-2011
